model	noise_type	noise_amount	edges_added	EMBED_DIM	SCORE
bass_line	erdos	0.0	0	150	0.8947479128837585
bass_line	erdos	0.0001	6323	150	0.8816646933555603
bass_line	erdos	0.001	63908	150	0.8527812957763672
bass_line	erdos	0.005	318650	150	0.7695654630661011
bass_line	erdos	0.01	637378	150	0.6494313478469849
bass_line	power	0.0	0	150	0.8949052691459656
bass_line	power	0.0001	6081	150	0.8918741345405579
bass_line	power	0.001	60497	150	0.8875910639762878
bass_line	power	0.005	294812	150	0.8619459271430969
bass_line	power	0.01	575134	150	0.8033361434936523
gae	erdos	0.0	0	150	0.861761748790741
gae	erdos	0.0001	6323	150	0.8506268858909607
gae	erdos	0.001	63908	150	0.7611289024353027
gae	erdos	0.005	318650	150	0.6051101088523865
gae	erdos	0.01	637378	150	0.4773835241794586
gae	power	0.0	0	150	0.8586932420730591
gae	power	0.0001	6081	150	0.861625611782074
gae	power	0.001	60497	150	0.8290684819221497
gae	power	0.005	294812	150	0.5001217722892761
gae	power	0.01	575134	150	0.226885586977005
dse	erdos	0.0	0	900	0.8608375787734985
dse	erdos	0.0001	6323	900	0.8413664102554321
dse	erdos	0.001	63908	900	0.8613430261611938
dse	erdos	0.005	318650	900	0.8459914326667786
dse	erdos	0.01	637378	900	0.8427454829216003
dse	power	0.0	0	900	0.8608375787734985
dse	power	0.0001	6081	900	0.8626531958580017
dse	power	0.001	60497	900	0.8513598442077637
dse	power	0.005	294812	900	0.8495246171951294
dse	power	0.01	575134	900	0.8528871536254883
lucio	erdos	0	0	150	0.8433901071548462
lucio	power	0	0	150	0.8433901071548462
